participant,1_instruction,1_xinxi_1,1_xinxi_2,1_xinxi_3,1_xinxi_4,1_xinxi_5,1_xinxi_6,1_xinxi_7,2_instruction,2_renkou_1,2_renkou_2,2_renkou_3,2_renkou_4,2_renkou_5,2_renkou_6,3_yimioao_1,3_yimioao_2,3_instruction,4_pingtai_1,4_pingtai_2,5_shijian,6_laiyuan_1,6_laiyuan_2,7_qingkuang_1,8_pinlyu_1,9_dongji_1,9_dongji_2,9_dongji_3,4_instruction,10_message,10_NC_1,10_NC_2,10_NC_3,10_NC_4,11_NCC_1,11_NCC_2,11_NCC_3,11_NCC_4,11_NCC_5,11_NCC_6,11_NCC_7,11_NCC_8,11_NCC_9,12_shebei,13_guandao,feedback_1,feedback_2,INFOSCREEN,TIME_start,TIME_end,TIME_total
s.9fe3be9f-30aa-4b76-8741-e1eba07a2719.txt,3380,134990,95791,166197,126766,280219,244054,86959,25654,310167,310167,310167,310167,310167,310167,7861,"",19617,22291,"","",84691,97114,121883,51849,63532,99556,119701,26120,5615,168007,145866,127255,61012,193643,152118,92852,103973,138947,174016,106439,90999,42395,62613,62613,4716,190980,0,2021-12-25-22-13,2021-12-25-23-24,71
s.836f1a8b-a50e-445c-bc2e-7433c8875d50.txt,1727,120094,157716,118531,46602,81373,57580,33995,10943,34017,34017,34017,34017,34017,34017,2938,"",11296,12137,19782,11465,50608,27047,52350,16149,48766,22993,29277,2965,1822,51277,50633,18425,10933,46708,62995,33405,62008,39397,27998,45054,33705,11336,20627,20627,1932,7323,0,2022-01-05-03-03,2022-01-05-03-29,26
s.59e13852-eab0-4c0b-86c0-e46fdca6a738.txt,560,4309,5255,3483,3407,3795,4701,2411,785,10835,10835,10835,10835,10835,10835,1359,1213,637,1326,1969,1894,3577,3210,3550,2122,4157,8392,6776,2384,704,6170,4208,5635,2543,3912,4964,3272,3941,4939,4696,4668,5655,7588,4210,4210,5306,13831,0,2021-12-15-05-41,2021-12-15-05-44,3
s.d687b976-943c-4925-bbeb-a684239d237f.txt,3781,135939,69204,133914,89841,81205,64354,29386,3148,21232,21232,21232,21232,21232,21232,21899,"",2910,9875,20052,15464,32029,41100,69102,20254,53592,63142,89222,20547,1656,105610,119011,51842,59498,93144,122219,70650,275416,142728,609111,97925,89143,24886,46628,46628,8783,187831,0,2021-12-25-04-30,2021-12-25-05-24,54
s.46dca392-8bf8-4ac8-9a0b-e94c223772fe.txt,2286,64575,78653,70172,74220,65615,43821,39764,2826,75095,75095,75095,75095,75095,75095,3455,"",2485,14870,43998,6428,42476,28315,41297,14209,15887,74477,12573,2074,1233,48676,40666,31127,29542,47303,78180,1162701,114597,74919,95850,29641,31359,19267,30415,30415,2300,96542,0,2022-01-04-14-33,2022-01-04-15-20,47
s.a2ecbe6f-a4a4-47a2-8002-08e3694ae516.txt,12049,80416,77352,74139,69003,87863,58244,39674,9164,43027,43027,43027,43027,43027,43027,5633,"",14395,9681,45189,11069,49633,44002,42264,18514,25822,15634,11630,20608,11836,65301,89793,38726,54567,49478,66123,513630,51173,54854,34454,50953,35590,13346,27201,27201,4736,71429,0,2021-12-25-11-56,2021-12-25-12-32,36
s.ed2903d7-e447-4bb1-b939-7f838b1ac107.txt,1477,55770,62027,33136,49552,55059,35529,25728,2094,35903,35903,35903,35903,35903,35903,3590,"",1482,4900,19408,5415,24099,14823,37050,5378,19583,28751,28036,1395,2287,38127,38116,22895,27637,29022,32736,25402,26121,43080,25894,25000,36968,11736,15418,15418,1961,43300,0,2021-12-25-08-35,2021-12-25-08-52,17
s.a66ede89-d21e-4bcc-9f4e-bdc89f4f3980.txt,5411,84402,73717,56086,86442,72968,69815,33280,2554,65168,65168,65168,65168,65168,65168,4966,"",1116,7347,15456,8142,62370,26311,33408,80905,45760,62651,21938,4656,1035,87534,65376,61705,36525,61442,54817,48860,44096,71982,69625,37109,69799,17049,20352,20352,1781,5645,0,2021-12-25-05-20,2021-12-25-05-50,30
s.81f6284b-25d6-48b3-adef-b679462fcc2e.txt,9120,95527,93388,76316,80307,95783,60708,67744,6286,55123,55123,55123,55123,55123,55123,5596,"",2265,9848,44763,12098,57969,33846,36238,16982,31104,98732,118628,4402,3014,68510,84468,32661,35398,53606,77151,44575,36341,60359,49351,38623,39810,19741,61038,61038,5836,122838,0,2021-12-25-13-32,2021-12-25-14-05,33
s.f90f503f-efa3-4232-a880-ada521a371d9.txt,1210,57779,46863,61575,69217,102677,36859,32552,3831,45123,45123,45123,45123,45123,45123,5242,"",6448,10445,60196,9721,41532,35842,49614,18241,21695,88959,44706,1862,3704,57593,54572,36510,22268,63981,53540,36939,44425,55230,44002,48506,49950,17934,28667,28667,2619,57775,0,2021-12-25-20-02,2021-12-25-20-28,26
s.4bfda122-19a4-4f47-bc1e-05199e105380.txt,3720,145046,145697,115140,90653,155475,114038,51383,16777,73410,73410,73410,73410,73410,73410,6406,"",12434,13576,105231,14362,76254,52936,146527,57667,78943,199396,139265,20025,14409,148184,88266,66176,51789,112817,95275,83037,66263,108358,83561,58728,72987,21709,85936,85936,7207,238463,0,2022-01-04-15-31,2022-01-04-16-26,55
s.a05c35a0-cefa-4d53-a2f5-791eb0ba338f.txt,5113,80265,59854,72993,51027,58538,82054,66730,3193,32273,32273,32273,32273,32273,32273,4342,"",2834,9396,25963,5866,30181,32576,36524,20171,22116,61073,21641,1881,7899,60129,333638,70925,18248,274884,70456,80874,88142,45850,45769,88498,69572,13051,36079,36079,7620,16558,0,2021-12-27-07-50,2021-12-27-08-26,36
