"List01","List02","List03","List04"
0,0,13,25
1,0,0,13
25,1,0,0
0,25,25,0
26,0,0,26
0,2,14,0
2,26,0,0
0,0,26,14
3,0,15,0
0,3,0,15
27,0,27,0
0,27,0,27
0,28,28,0
4,0,16,0
28,0,0,28
0,4,0,16
0,5,0,17
0,0,17,29
29,0,29,0
5,29,0,0
0,6,0,18
30,0,0,30
0,30,30,0
6,0,18,0
31,0,31,0
7,0,0,19
0,7,19,0
0,31,0,31
0,32,32,0
32,8,0,0
8,0,0,20
0,0,20,32
0,9,0,21
0,33,33,0
33,0,0,33
9,0,21,0
0,10,0,22
10,0,22,0
34,0,34,0
0,34,0,34
11,35,0,0
0,0,35,23
35,11,0,0
0,0,23,35
0,12,24,0
0,36,0,36
36,0,36,0
12,0,0,24
13,37,0,0
0,13,37,0
0,0,1,37
37,0,0,1
0,14,38,0
38,0,0,2
0,0,2,38
14,38,0,0
0,39,0,3
15,0,39,0
0,15,0,39
39,0,3,0
40,0,0,4
0,16,0,40
0,40,4,0
16,0,40,0
17,0,41,0
41,17,0,0
0,41,0,5
0,0,5,41
42,0,6,0
0,18,42,0
18,0,0,42
0,42,0,6
0,43,0,7
0,19,43,0
19,0,0,43
43,0,7,0
20,0,0,44
0,0,44,8
0,44,8,0
44,20,0,0
45,0,9,0
21,0,0,45
0,21,45,0
0,45,0,9
46,0,10,0
0,46,0,10
0,22,0,46
22,0,46,0
0,0,47,11
47,23,0,0
0,0,11,47
23,47,0,0
24,0,0,48
48,0,12,0
0,48,0,12
0,24,48,0
61,85,0,0
0,61,85,0
0,0,49,85
85,0,0,49
0,62,86,0
86,0,0,50
0,0,50,86
62,86,0,0
0,87,0,51
63,0,87,0
0,63,0,87
87,0,51,0
88,0,0,52
0,64,0,88
0,88,52,0
64,0,88,0
65,0,89,0
89,65,0,0
0,89,0,53
0,0,53,89
90,0,54,0
0,66,90,0
66,0,0,90
0,90,0,54
0,91,0,55
0,67,91,0
67,0,0,91
91,0,55,0
68,0,0,92
0,0,92,56
0,92,56,0
92,68,0,0
93,0,57,0
69,0,0,93
0,69,93,0
0,93,0,57
94,0,58,0
0,94,0,58
0,70,0,94
70,0,94,0
0,0,95,59
95,71,0,0
0,0,59,95
71,95,0,0
72,0,0,96
96,0,60,0
0,96,0,60
0,72,96,0
0,0,61,73
49,0,0,61
73,49,0,0
0,73,73,0
74,0,0,74
0,50,62,0
50,74,0,0
0,0,74,62
51,0,63,0
0,51,0,63
75,0,75,0
0,75,0,75
0,76,76,0
52,0,64,0
76,0,0,76
0,52,0,64
0,53,0,65
0,0,65,77
77,0,77,0
53,77,0,0
0,54,0,66
78,0,0,78
0,78,78,0
54,0,66,0
79,0,79,0
55,0,0,67
0,55,67,0
0,79,0,79
0,80,80,0
80,56,0,0
56,0,0,68
0,0,68,80
0,57,0,69
0,81,81,0
81,0,0,81
57,0,69,0
0,58,0,70
58,0,70,0
82,0,82,0
0,82,0,82
59,83,0,0
0,0,83,71
83,59,0,0
0,0,71,83
0,60,72,0
0,84,0,84
84,0,84,0
60,0,0,72
